27,1
59,1
61,1
3,2
68,2
2,3
4,3
10,3
26,3
33,3
35,3
41,3
42,3
47,3
50,3
53,3
60,3
63,3
64,3
67,3
68,3
70,3
3,4
35,4
68,4
6,5
7,5
14,5
38,5
43,5
69,5
76,5
82,5
5,6
7,6
14,6
21,6
38,6
42,6
53,6
75,6
96,6
5,7
6,7
14,7
21,7
38,7
43,7
50,7
53,7
69,7
76,7
82,7
90,7
26,8
33,8
38,8
45,8
65,8
73,9
3,10
35,10
12,11
46,11
87,11
88,11
11,12
48,12
87,12
18,13
96,13
5,14
6,14
7,14
21,14
35,14
43,14
53,14
76,14
82,14
49,15
50,15
54,15
41,16
75,16
83,16
94,16
27,17
59,17
60,17
75,17
89,17
13,18
25,18
29,18
31,18
34,18
36,18
59,18
63,18
70,18
84,18
86,18
89,18
92,18
96,18
41,19
75,19
94,19
22,20
24,20
26,20
28,20
29,20
30,20
32,20
44,20
51,20
55,20
56,20
58,20
63,20
73,20
77,20
91,20
95,20
99,20
6,21
7,21
14,21
43,21
53,21
20,22
24,22
29,22
42,22
51,22
56,22
58,22
63,22
73,22
77,22
91,22
95,22
35,23
75,23
20,24
22,24
29,24
42,24
44,24
58,24
63,24
73,24
77,24
99,24
18,25
84,25
86,25
96,25
3,26
8,26
20,26
33,26
45,26
55,26
65,26
71,26
85,26
97,26
98,26
1,27
17,27
35,27
59,27
60,27
61,27
89,27
20,28
29,28
35,28
18,29
20,29
22,29
24,29
28,29
40,29
51,29
58,29
63,29
73,29
77,29
91,29
95,29
99,29
20,30
37,30
41,30
75,30
18,31
36,31
96,31
20,32
56,32
58,32
3,33
8,33
26,33
45,33
52,33
55,33
57,33
65,33
71,33
85,33
97,33
98,33
18,34
96,34
3,35
4,35
10,35
14,35
23,35
27,35
28,35
42,35
47,35
56,35
64,35
65,35
67,35
68,35
70,35
81,35
18,36
31,36
96,36
30,37
62,37
75,37
94,37
5,38
6,38
7,38
8,38
69,38
90,38
46,39
48,39
29,40
3,41
16,41
19,41
30,41
62,41
75,41
80,41
94,41
3,42
6,42
22,42
24,42
35,42
68,42
5,43
7,43
14,43
21,43
90,43
20,44
24,44
8,45
26,45
33,45
57,45
65,45
98,45
11,46
39,46
48,46
87,46
88,46
3,47
35,47
48,47
64,47
67,47
68,47
70,47
12,48
39,48
46,48
47,48
87,48
88,48
15,49
50,49
54,49
96,49
3,50
7,50
15,50
49,50
20,51
22,51
29,51
58,51
77,51
33,52
65,52
3,53
6,53
7,53
14,53
21,53
76,53
82,53
90,53
15,54
49,54
20,55
26,55
33,55
65,55
71,55
20,56
22,56
32,56
35,56
63,56
73,56
77,56
96,56
33,57
45,57
61,57
65,57
20,58
22,58
24,58
29,58
32,58
51,58
63,58
77,58
79,58
91,58
95,58
96,58
99,58
1,59
17,59
18,59
27,59
60,59
61,59
68,59
72,59
89,59
3,60
17,60
27,60
59,60
61,60
89,60
1,61
27,61
57,61
59,61
60,61
72,61
37,62
41,62
75,62
80,62
94,62
3,63
18,63
20,63
22,63
24,63
29,63
56,63
58,63
65,63
77,63
93,63
96,63
99,63
3,64
35,64
47,64
67,64
68,64
70,64
8,65
26,65
33,65
35,65
45,65
52,65
55,65
57,65
63,65
71,65
85,65
97,65
98,65
79,66
93,66
3,67
35,67
47,67
64,67
68,67
2,68
3,68
4,68
35,68
42,68
47,68
59,68
64,68
67,68
70,68
97,68
5,69
7,69
38,69
90,69
3,70
18,70
35,70
47,70
64,70
68,70
94,70
26,71
33,71
55,71
65,71
59,72
61,72
78,72
9,73
20,73
22,73
24,73
29,73
56,73
75,73
77,73
91,73
6,75
16,75
17,75
19,75
23,75
30,75
37,75
41,75
62,75
73,75
76,75
80,75
83,75
94,75
100,75
5,76
7,76
14,76
53,76
75,76
20,77
22,77
24,77
29,77
51,77
56,77
58,77
63,77
73,77
91,77
99,77
72,78
58,79
66,79
93,79
41,80
62,80
75,80
94,80
35,81
5,82
7,82
14,82
53,82
90,82
16,83
75,83
18,84
25,84
86,84
96,84
26,85
33,85
65,85
98,85
18,86
25,86
84,86
96,86
11,87
12,87
46,87
48,87
88,87
11,88
46,88
48,88
87,88
17,89
18,89
27,89
59,89
60,89
7,90
38,90
43,90
53,90
69,90
82,90
20,91
22,91
29,91
58,91
73,91
77,91
18,92
63,93
66,93
79,93
16,94
19,94
37,94
41,94
62,94
70,94
75,94
80,94
100,94
20,95
22,95
29,95
58,95
99,95
6,96
13,96
18,96
25,96
31,96
34,96
36,96
49,96
56,96
58,96
63,96
84,96
86,96
26,97
33,97
65,97
68,97
98,97
26,98
33,98
45,98
65,98
85,98
97,98
20,99
24,99
29,99
58,99
63,99
77,99
95,99
75,100
94,100
